#
#"Frequency / Hz"	"Z4,4 [Magnitude / Ohm]"
#-----------------------------------------
9000.0000000000	12.474827129828
9105.1743636694	12.700401956056
9211.5777992026	12.674381244151
9319.2246695829	12.880256193477
9428.1295056402	12.827182529057
9538.3070080123	13.163043067271
9649.7720491291	13.487520123606
9762.5396752205	13.518179293472
9876.6251083470	13.407927966126
9992.0437484550	13.451786317974
10108.811175455	13.867374332298
10226.943151325	14.224621783707
10346.455622239	14.156524808147
10467.364720717	14.033288967793
10589.686767806	14.482602745987
10713.438275280	14.938670983834
10838.635947870	14.942474964334
10965.296685521	14.919882627715
11093.437585671	15.126493048797
11223.075945558	15.663678123722
11354.229264556	15.760880318475
11486.915246540	15.726585757639
11621.151802271	16.025725738833
11756.957051817	16.504685554014
11894.349326996	16.570328815266
12033.347173855	16.519366652784
12173.969355169	17.225177975700
12316.234852976	17.517363489308
12460.162871138	17.401314991285
12605.772837937	17.645472082317
12753.084408692	18.129830240477
12902.117468415	18.325873416046
13052.892134496	18.160975203816
13205.428759417	18.731540678668
13359.747933501	19.191680960487
13515.870487689	19.018464115023
13673.817496353	19.277785158412
13833.610280143	19.776608024950
13995.270408862	19.711868013150
14158.819704376	19.841861492465
14324.280243567	20.605288475274
14491.674361305	20.439930684856
14661.024653467	20.602233160314
14832.353979986	21.044642766063
15005.685467937	21.052743991162
15181.042514661	21.224828782101
15358.448790919	21.985057959997
15537.928244089	21.718059007460
15719.505101402	21.916040302764
15903.203873206	22.444891234954
16089.049356280	22.187256543465
16277.066637180	22.972388596099
16467.281095621	23.088515399089
16659.718407909	23.052220181766
16854.404550405	23.574060506114
17051.365803030	23.676187214170
17250.628752810	24.169586247794
17452.220297474	24.701546738351
17656.167649075	24.692814286135
17862.498337667	25.294277769058
18071.240215024	25.432665416490
18282.421458394	25.934855811984
18496.070574308	26.213037176682
18712.216402423	26.416951402008
18930.888119420	27.122452382192
19152.115242938	26.871341787803
19375.927635560	27.815961112503
19602.355508846	27.494268380241
19831.429427409	27.777008879579
20063.180313040	27.848254346235
20297.639448886	28.313056439393
20534.838483666	28.467463209205
20774.809435952	28.679218607931
21017.584698484	29.481116879880
21263.197042543	29.669616715326
21511.679622379	30.186222853094
21763.065979684	30.514277623857
22017.390048118	31.010189491598
22274.686157893	31.423219724485
22534.989040403	31.763558315490
22798.333832917	32.131276003343
23064.756083317	32.470607088084
23334.291754901	33.289807027302
23606.977231234	33.223140202638
23882.849321062	33.836813450766
24161.945263280	33.700142426625
24444.302731955	34.517138858852
24729.959841419	34.509764269374
25018.955151407	34.970305156907
25311.327672265	35.590903481939
25607.116870216	35.698847548443
25906.362672687	36.476698239979
26209.105473697	36.667247770228
26515.386139313	37.341235739146
26825.246013163	37.999329976234
27138.726922019	38.121344898177
27455.871181444	38.826868046503
27776.721601499	39.250876656950
28101.321492528	39.316575191914
28429.714671000	40.100039152031
28761.945465425	40.193044501626
29098.058722339	40.380660129333
29438.099812354	41.250156636097
29782.114636288	41.631353372148
30130.149631355	41.953340657164
30482.251777437	42.914706889285
30838.468603426	43.563845921695
31198.848193638	43.795298949164
31563.439194303	44.411653314989
31932.290820134	45.214748299218
32305.452860969	45.596890193284
32682.975688492	45.761368850025
33064.910263032	46.266376742375
33451.308140444	47.000384184479
33842.221479064	47.448452082909
34237.703046755	47.790584203387
34637.806228027	48.304080470404
35042.585031242	49.207851059741
35452.094095908	50.159027975515
35866.388700051	50.764121396533
36285.524767678	51.229012091071
36709.558876329	51.574267803375
37138.548264707	52.058892720992
37572.550840412	52.588551082027
38011.625187754	53.258827545241
38455.830575661	54.039265629678
38905.226965680	54.695479524418
39359.875020073	55.471530022679
39819.836110000	56.080494683193
40285.172323810	56.819906767529
40755.946475418	57.376917561752
41232.222112784	57.933426308532
41714.063526494	58.448659878965
42201.535758435	58.973508415370
42694.704610575	59.625134902666
43193.636653850	60.353934939074
43698.399237143	61.249817982503
44209.060496381	62.137881195622
44725.689363729	63.004355356814
45248.355576896	63.824166048384
45777.129688551	64.439065745763
46312.083075840	65.203816769537
46853.287950030	65.906328295996
47400.817366248	66.856838127687
47954.745233349	67.732333281447
48515.146323888	68.566119473846
49082.096284215	69.295003518875
49655.671644687	70.021319102237
50235.949830000	70.882489566047
50823.009169633	71.696582649882
51416.928908431	72.666125503993
52017.789217295	73.413545061820
52625.671204009	74.257226409889
53240.656924182	75.481072596519
53862.829392331	76.644172475865
54492.272593084	77.220582000447
55129.071492515	77.607308183048
55773.312049616	78.748908980072
56425.081227900	80.250451304269
57084.467007138	80.991330351920
57751.558395236	82.189926954847
58426.445440252	83.445395008678
59109.219242546	83.703660902141
59799.971967083	85.025699229609
60498.796855870	86.008558089957
61205.788240546	87.324927899489
61921.041555111	88.723484212300
62644.653348812	89.281904829275
63376.721299173	90.554528369230
64117.344225184	91.204974270504
64866.622100635	93.045241858796
65624.656067615	94.095382990987
66391.548450164	95.580443780682
67167.402768083	96.216797550783
67952.323750912	97.370607490093
68746.417352063	98.822620515378
69549.790763125	99.953722317008
70362.552428331	101.82731255475
71184.812059199	102.50067444074
72016.680649338	103.38684892666
72858.270489436	105.21436958307
73709.695182412	106.69709235633
74571.069658754	107.78591305479
75442.510192033	108.96328199849
76324.134414596	110.37422621696
77216.061333449	111.95344012510
78118.411346316	113.52708686206
79031.306257896	114.48472997515
79954.869296300	116.07015164959
80889.225129690	117.05388151126
81834.499883105	119.27093726959
82790.821155484	121.04764337846
83758.318036895	122.44627561763
84737.121125956	123.43359766818
85727.362547468	125.30313305788
86729.175970244	127.24072386303
87742.696625160	128.42565985059
88768.061323404	129.77045844204
89805.408474944	131.51514499110
90854.878107213	133.33720614115
91916.611884012	134.65759354785
92990.753124629	135.67841317778
94077.446823187	138.42384696759
95176.839668218	140.48431809105
96289.080062459	141.52566815311
97414.318142891	142.95130548644
98552.705800999	145.43696379105
99704.396703279	147.53853499312
100869.54631198	148.45113694983
102048.31190609	151.22786059832
103240.85260256	152.64429792139
104447.32937780	154.58082059490
105667.90508939	156.68619857648
106902.74449806	158.74107012972
108152.01428996	160.23644705918
109415.88309913	161.93685158840
110694.52153028	165.11693454875
111988.10218179	167.36339865347
113296.79966907	169.00718046279
114620.79064807	171.49247304800
115960.25383915	173.92031984580
117315.37005120	174.86904176112
118686.32220606	178.41544131701
120073.29536321	180.64914666906
121476.47674471	183.53005156284
122896.05576053	186.63711125006
124332.22403410	188.47531666529
125785.17542814	190.52601720375
127255.10607089	193.97016535348
128742.21438252	195.93873962183
130246.70110197	198.48499823988
131768.76931402	201.91260083184
133308.62447670	204.20527057467
134866.47444903	207.80716436623
136442.52951909	210.36156786375
138037.00243238	212.30096674733
139650.10842057	216.38768720452
141282.06523051	219.20346067164
142933.09315368	222.37237216790
144603.41505587	225.65984933530
146293.25640731	228.85190843257
148002.84531306	232.18135444894
149732.41254385	235.59273130282
151482.19156718	239.39469266545
153252.41857888	242.90042123797
